101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;quota = 3.9 out of 39
       16.00000 (4: 9+16.0 > 9+12.0);       18.00000 (2: 9+18.0 > 9+17.0);       12.00000 (5: 9+12.0+9.00000000001+9.0+8.61538461538+9.175 > 9+12.0+9.00000000001+9.0+8.61538461538+9.175);        8.00000 (9: 9+8.0 > 9+7.0);       12.00000 (6: 9+12.0+9.00000000001+9.0+8.61538461538+9.175 > 9+12.0+9.00000000001+9.0+8.61538461538+9.175);       21.00000 (1: 9+21.0 > 9+18.0);        7.00000 (13: 9+7.0 > 9+6.0);       12.00000 (8: 9+12.0 > 9+8.0);       17.00000 (3: 9+17.0 > 9+16.0);       12.00000 (7: 9+12.0+9.00000000001+9.0+8.61538461538+9.175 > 9+12.0+9.00000000001+9.0+8.61538461538+9.175);        7.00000 (11: 9+7.0+9.00000000001+8.89743589744+8.54415954416+8.94285714286 > 9+7.0+9.00000000001+8.89743589744+8.54415954416+8.94285714286);        4.00000 (15: 8 > 7);        6.00000 (14: 9 > 8);        9.00000 (16: 7+9.0+7.53846153847+7.76923076923+7.38461538462+7.35);        7.00000 (10: 9+7.0+9.00000000001+8.89743589744+8.54415954416+8.94285714286 > 9+7.0+9.00000000001+8.89743589744+8.54415954416+8.94285714286);        7.00000 (12: 9+7.0+9.00000000001+8.89743589744+8.54415954416+8.94285714286 > 9+7.0+9.00000000001+8.89743589744+8.54415954416+8.94285714286);Alpha = 9  Seating 106  Trunc_Sum = 0
       13.95714 (3: 9+13.9571428571 > 9+11.0714285714);       15.77143 (1: 9+15.7714285714 > 9+14.9571428571);       10.51429 (6: 9+10.5142857143+9.00000000001+9.0+8.6059981685+9.12907608696 > 9+10.5142857143+9.00000000001+9.0+8.6059981685+9.12907608696);        7.62857 (8: 9+7.62857142857 > 9+6.44285714286);       10.51429 (7: 9+10.5142857143 > 9+7.62857142857);;        6.44286 (9: 9+6.44285714286 > 9+6.44285714286);       11.07143 (4: 9+11.0714285714 > 9+10.7);       14.95714 (2: 9+14.9571428571 > 9+13.9571428571);       10.70000 (5: 9+10.7 > 9+10.5142857143);        6.25714 (11: 9+6.25714285714 > 9+6.25714285714);        4.25714 (15: 7+4.25714285714+6.97435897436+7.19597069597+6.50572344322+6.93859649123);        5.44286 (13: 9 > 7);        8.25714 (14: 7+8.25714285714 > 7+4.25714285714);        6.44286 (10: 9+6.44285714286 > 9+6.25714285714);        6.25714 (12: 9+6.25714285714 > 9+5.44285714286);Alpha = 9  Seating 102  Trunc_Sum = 0
       11.85171 (2: 9+11.8517080745 > 9+9.72550465839);;        9.70885 (4: 9+9.70885093168 > 9+9.01292701863);        6.68536 (7: 9+6.68536490683 > 9+5.99421583851);        9.01293 (5: 9+9.01292701863 > 9+8.9972826087);;        5.79286 (9: 9+5.79285714286 > 9+5.60714285714);        9.72550 (3: 9+9.72550465839 > 9+9.70885093168);       13.45578 (1: 9+13.4557841615 > 9+11.8517080745);        8.99728 (6: 9+8.9972826087 > 9+6.68536490683);        5.60714 (10: 9+5.60714285714 > 9+5.40578416149);        7.24457 (14: 6+7.24456521739+6.66457636567+6.91823936932+6.46834189361+6.43124506847);        4.29829 (12: 9 > 7);        7.60714 (13: 7 > 6);        5.99422 (8: 9+5.99421583851 > 9+5.79285714286);        5.40578 (11: 9+5.40578416149 > 9+4.29829192547);Alpha = 9  Seating 109  Trunc_Sum = 0
        9.98343 (1: 9+9.98343321525 > 9+8.40950726814);;        8.40951 (2: 9+8.40950726814 > 9+8.05982398699);        5.94135 (6: 9+5.9413493971 > 9+5.05470582613);        7.26394 (5: 9+7.26394037328 > 9+5.9413493971);;        4.58135 (9: 9+4.58135380059 > 9+4.27181695363);        8.05982 (3: 9+8.05982398699 > 9+7.64864620178);;        7.64865 (4: 9+7.64864620178 > 9+7.26394037328);        4.27182 (10: 9 > 7);        5.96760 (13: 6+5.96760075188+6.42185593037+6.61039016227+6.39253286877+6.21153182508);        4.77139 (12: 7 > 6);        6.37779 (11: 7+6.37779466416 > 7+4.77138754323);        5.05471 (7: 9+5.05470582613 > 9+4.70228523904);        4.70229 (8: 9+4.70228523904 > 9+4.58135380059);Alpha = 9  Seating 101  Trunc_Sum = 0
;;        7.43934 (1: 9+7.43934213314 > 9+7.06441468799);        4.54451 (5: 9+4.5445103389 > 9+4.26811742554);        5.74763 (4: 9+5.74762886861 > 9+4.5445103389);;        4.61174 (9: 8 > 7);        7.06441 (2: 9+7.06441468799 > 9+5.93697155876);;        5.93697 (3: 9+5.93697155876 > 9+5.74762886861);        5.18580 (8: 8+5.18579551709 > 8+4.61174378449);        5.45748 (11: 6+5.45748112863 > 6+5.43152380733);        5.43152 (12: 6+5.43152380733+6.84227284847+6.92113642423+6.46791852587+6.35955706957);        5.70443 (10: 7 > 6);        4.26812 (6: 9+4.26811742554 > 9+4.05336894583);        4.05337 (7: 9 > 8);Alpha = 9  Seating 103  Trunc_Sum = 0
;;;        4.02027 (4: 9+4.02027043567 > 9+3.96496279242);        5.00227 (3: 9+5.00227152507 > 9+4.02027043567);;        6.23075 (8: 7+6.23075365279 > 7+4.41666731596);        6.23702 (1: 9+6.23702015164 > 9+5.03627370597);;        5.03627 (2: 9+5.03627370597 > 9+5.00227152507);        3.91620 (7: 8 > 7);        4.49104 (11: 6+4.49103851499+5.65154833718+5.94548439037+5.51894354215+5.72760645149);        5.43152 (10: 6+5.43152380733 > 6+4.49103851499);        4.41667 (9: 7 > 6);        3.96496 (5: 9 > 8);        4.00558 (6: 8+4.00557598395 > 8+3.91619827033);Alpha = 9  Seating 108  Trunc_Sum = 0
;;;        4.95462 (4: 7+4.95462456112 > 7+4.71394562575);        4.24948 (1: 9 > 8);;        4.24009 (7: 7+4.24009047724 > 7+3.97260412099);;;        5.69497 (2: 8 > 7);        4.71395 (5: 7+4.71394562575 > 7+4.42287618314);        4.82182 (10: 5+4.82182081148+5.0631353291+5.40465948573+5.41338550923+5.07707075567);        5.99781 (9: 5+5.99780534702 > 5+4.82182081148);        3.97260 (8: 7 > 5);        4.42288 (6: 7+4.42287618314 > 7+4.24009047724);        5.03677 (3: 7+5.03677424663 > 7+4.95462456112);Alpha = 9  Seating 105  Trunc_Sum = 0
;;;        4.48045 (5: 6+4.48045416005 > 6+4.26639118275);;;        4.79828 (4: 6+4.79827970436 > 6+4.48045416005);;;        5.51351 (1: 7+5.51351412101 > 7+4.50635720712);        4.96285 (3: 6+4.96284999877 > 6+4.79827970436);        7.22089 (9: 4+7.22089243867+4.3644097961+4.78297181981+4.41086201531+4.32688070916);        4.20318 (8: 5 > 4);        4.26639 (6: 6 > 5);        5.95394 (7: 5+5.95394169753 > 5+4.20318324196);        4.50636 (2: 7 > 6);Alpha = 7  Seating 110  Trunc_Sum = 0.65553
;;;        4.38283 (4: 5+4.38282826234 > 5+4.34720343703);;;        4.64346 (3: 5+4.64346241024 > 5+4.38282826234);;;;        3.98008 (6: 5 > 4);        4.91127 (7: 4 > 3);        4.28906 (8: 3+4.28905645581+2.78066361908+3.11185762443+3.474863598+3.16491693251);        5.63429 (2: 5+5.6342912943 > 5+4.64346241024);        4.34720 (5: 5+4.34720343703 > 5+3.98007887485);        4.30932 (1: 6 > 5);Alpha = 6  Seating 116  Trunc_Sum = 0
